Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,2017-05-08 00:00:00,456767165,2017-05-21 00:00:00,6409,81.73,56.67,523807.57,363198.03,160609.54
Middle East and North Africa,Syria,Fruits,Online,L,2011-11-22 00:00:00,162052476,2011-12-03 00:00:00,3784,9.33,6.92,35304.72,26185.28,9119.44
Sub-Saharan Africa,The Gambia,Meat,Online,M,2017-01-14 00:00:00,825304400,2017-01-23 00:00:00,4767,421.89,364.69,2011149.63,1738477.23,272672.4
Asia,Brunei,Office Supplies,Online,L,2012-04-01 00:00:00,320009267,2012-05-08 00:00:00,6708,651.21,524.96,4368316.68,3521431.68,846885.0
Europe,Bulgaria,Office Supplies,Online,M,2012-02-16 00:00:00,189965903,2012-02-28 00:00:00,3987,651.21,524.96,2596374.27,2093015.52,503358.75
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-11 00:00:00,699285638,2017-03-28 00:00:00,3015,81.73,56.67,246415.95,170860.05,75555.9
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,2010-02-06 00:00:00,382392299,2010-02-25 00:00:00,7234,437.2,263.33,3162704.8,1904929.22,1257775.58
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,2012-06-07 00:00:00,994022214,2012-06-08 00:00:00,2117,205.7,117.11,435466.9,247921.87,187545.03
Europe,Slovakia,Vegetables,Online,H,2012-10-06 00:00:00,759224212,2012-11-10 00:00:00,171,154.06,90.93,26344.26,15549.03,10795.23
Asia,Myanmar,Clothes,Online,H,2015-11-14 00:00:00,223359620,2015-11-18 00:00:00,5930,109.28,35.84,648030.4,212531.2,435499.2
Sub-Saharan Africa,Comoros,Cereal,Offline,H,2016-03-29 00:00:00,902102267,2016-04-29 00:00:00,962,205.7,117.11,197883.4,112659.82,85223.58
Europe,Iceland,Cosmetics,Online,C,2016-12-31 00:00:00,331438481,2016-12-31 00:00:00,8867,437.2,263.33,3876652.4,2334947.11,1541705.29
Europe,Switzerland,Personal Care,Online,M,2010-12-23 00:00:00,617667090,2011-01-31 00:00:00,273,81.73,56.67,22312.29,15470.91,6841.38
Europe,Macedonia,Clothes,Offline,C,2014-10-14 00:00:00,787399423,2014-11-14 00:00:00,7842,109.28,35.84,856973.76,281057.28,575916.48
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-11 00:00:00,837559306,2012-01-13 00:00:00,1266,651.21,524.96,824431.86,664599.36,159832.5
Europe,Albania,Clothes,Online,C,2010-02-02 00:00:00,385383069,2010-03-18 00:00:00,2269,109.28,35.84,247956.32,81320.96,166635.36
Sub-Saharan Africa,Lesotho,Fruits,Online,L,2013-08-18 00:00:00,918419539,2013-09-18 00:00:00,9606,9.33,6.92,89623.98,66473.52,23150.46
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-25 00:00:00,844530045,2013-03-28 00:00:00,4063,205.7,117.11,835759.1,475817.93,359941.17
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-26 00:00:00,441888415,2012-01-07 00:00:00,3457,651.21,524.96,2251232.97,1814786.72,436446.25
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,2013-09-17 00:00:00,508980977,2013-10-24 00:00:00,7637,9.33,6.92,71253.21,52848.04,18405.17
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-08 00:00:00,114606559,2012-06-27 00:00:00,3482,109.28,35.84,380512.96,124794.88,255718.08
Australia and Oceania,Fiji,Clothes,Offline,C,2010-06-30 00:00:00,647876489,2010-08-01 00:00:00,9905,109.28,35.84,1082418.4,354995.2,727423.2
Europe,Austria,Cosmetics,Offline,H,2015-02-23 00:00:00,868214595,2015-03-02 00:00:00,2847,437.2,263.33,1244708.4,749700.51,495007.89
Europe,United Kingdom,Household,Online,L,2012-01-05 00:00:00,955357205,2012-02-14 00:00:00,282,668.27,502.54,188452.14,141716.28,46735.86
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-07 00:00:00,259353148,2014-04-19 00:00:00,7215,437.2,263.33,3154398.0,1899925.95,1254472.05
Australia and Oceania,Australia,Cereal,Offline,H,2013-06-09 00:00:00,450563752,2013-07-02 00:00:00,682,205.7,117.11,140287.4,79869.02,60418.38
Europe,San Marino,Baby Food,Online,L,2013-06-26 00:00:00,569662845,2013-07-01 00:00:00,4750,255.28,159.42,1212580.0,757245.0,455335.0
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-07 00:00:00,177636754,2011-11-15 00:00:00,5518,651.21,524.96,3593376.78,2896729.28,696647.5
Middle East and North Africa,Libya,Clothes,Offline,H,2010-10-30 00:00:00,705784308,2010-11-17 00:00:00,6116,109.28,35.84,668356.48,219197.44,449159.04
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,2013-10-13 00:00:00,505716836,2013-11-16 00:00:00,1705,437.2,263.33,745426.0,448977.65,296448.35
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,2013-10-11 00:00:00,699358165,2013-11-25 00:00:00,4477,437.2,263.33,1957344.4,1178928.41,778415.99
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-08 00:00:00,228944623,2012-07-09 00:00:00,8656,81.73,56.67,707454.88,490535.52,216919.36
Central America and the Caribbean,Belize,Clothes,Offline,M,2016-07-25 00:00:00,807025039,2016-09-07 00:00:00,5498,109.28,35.84,600821.44,197048.32,403773.12
Europe,Lithuania,Office Supplies,Offline,H,2010-10-24 00:00:00,166460740,2010-11-17 00:00:00,8287,651.21,524.96,5396577.27,4350343.52,1046233.75
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-25 00:00:00,610425555,2015-05-28 00:00:00,7342,109.28,35.84,802333.76,263137.28,539196.48
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-23 00:00:00,462405812,2013-05-20 00:00:00,5010,651.21,524.96,3262562.1,2630049.6,632512.5
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-14 00:00:00,816200339,2015-09-30 00:00:00,673,9.33,6.92,6279.09,4657.16,1621.93
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-26 00:00:00,585920464,2011-07-15 00:00:00,5741,47.45,31.79,272410.45,182506.39,89904.06
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-20 00:00:00,555990016,2017-06-17 00:00:00,8656,205.7,117.11,1780539.2,1013704.16,766835.04
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-05 00:00:00,231145322,2013-08-16 00:00:00,9892,437.2,263.33,4324782.4,2604860.36,1719922.04
North America,Mexico,Household,Offline,C,2014-11-06 00:00:00,986435210,2014-12-12 00:00:00,6954,668.27,502.54,4647149.58,3494663.16,1152486.42
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-10-28 00:00:00,217221009,2014-11-15 00:00:00,9379,47.45,31.79,445033.55,298158.41,146875.14
Asia,Laos,Vegetables,Offline,C,2011-09-15 00:00:00,789176547,2011-10-23 00:00:00,3732,154.06,90.93,574951.92,339350.76,235601.16
Europe,Monaco,Baby Food,Offline,H,2012-05-29 00:00:00,688288152,2012-06-02 00:00:00,8614,255.28,159.42,2198981.92,1373243.88,825738.04
Australia and Oceania,Samoa ,Cosmetics,Online,H,2013-07-20 00:00:00,670854651,2013-08-07 00:00:00,9654,437.2,263.33,4220728.8,2542187.82,1678540.98
Europe,Spain,Household,Offline,L,2012-10-21 00:00:00,213487374,2012-11-30 00:00:00,4513,668.27,502.54,3015902.51,2267963.02,747939.49
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-18 00:00:00,663110148,2012-10-08 00:00:00,7884,109.28,35.84,861563.52,282562.56,579000.96
Middle East and North Africa,Iran,Cosmetics,Online,H,2016-11-15 00:00:00,286959302,2016-12-08 00:00:00,6489,437.2,263.33,2836990.8,1708748.37,1128242.43
Sub-Saharan Africa,Zambia,Snacks,Online,L,2011-01-04 00:00:00,122583663,2011-01-05 00:00:00,4085,152.58,97.44,623289.3,398042.4,225246.9
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-18 00:00:00,827844560,2012-04-07 00:00:00,6457,154.06,90.93,994765.42,587135.01,407630.41
North America,Mexico,Personal Care,Offline,L,2012-02-17 00:00:00,430915820,2012-03-20 00:00:00,6422,81.73,56.67,524870.06,363934.74,160935.32
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-16 00:00:00,180283772,2011-01-21 00:00:00,8829,47.45,31.79,418936.05,280673.91,138262.14
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-02-03 00:00:00,494747245,2014-03-20 00:00:00,5559,255.28,159.42,1419101.52,886215.78,532885.74
Middle East and North Africa,Kuwait,Fruits,Online,M,2012-04-30 00:00:00,513417565,2012-05-18 00:00:00,522,9.33,6.92,4870.26,3612.24,1258.02
Europe,Slovenia,Beverages,Offline,C,2016-10-23 00:00:00,345718562,2016-11-25 00:00:00,4660,47.45,31.79,221117.0,148141.4,72975.6
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-06 00:00:00,621386563,2016-12-14 00:00:00,948,651.21,524.96,617347.08,497662.08,119685.0
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-07 00:00:00,240470397,2014-07-11 00:00:00,9389,47.45,31.79,445508.05,298476.31,147031.74
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-13 00:00:00,423331391,2012-07-24 00:00:00,2021,651.21,524.96,1316095.41,1060944.16,255151.25
Europe,Romania,Cosmetics,Online,H,2010-11-26 00:00:00,660643374,2010-12-25 00:00:00,7910,437.2,263.33,3458252.0,2082940.3,1375311.7
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-08 00:00:00,963392674,2011-03-21 00:00:00,8156,47.45,31.79,387002.2,259279.24,127722.96
Sub-Saharan Africa,Mali,Clothes,Online,M,2011-07-26 00:00:00,512878119,2011-09-03 00:00:00,888,109.28,35.84,97040.64,31825.92,65214.72
Asia,Malaysia,Fruits,Offline,L,2011-11-11 00:00:00,810711038,2011-12-28 00:00:00,6267,9.33,6.92,58471.11,43367.64,15103.47
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,2016-06-01 00:00:00,728815257,2016-06-29 00:00:00,1485,154.06,90.93,228779.1,135031.05,93748.05
North America,Mexico,Personal Care,Offline,M,2015-07-30 00:00:00,559427106,2015-08-08 00:00:00,5767,81.73,56.67,471336.91,326815.89,144521.02
Sub-Saharan Africa,Mozambique,Household,Offline,L,2012-02-10 00:00:00,665095412,2012-02-15 00:00:00,5367,668.27,502.54,3586605.09,2697132.18,889472.91
Australia and Oceania,Tuvalu,Snacks,Online,C,9/6/2018,353964304,10/4/2018,8157,165.91,107.27,1353327.87,875001.39,478326.48
Central America and the Caribbean,Grenada,Beverages,Online,C,1/5/2018,454537693,1/6/2018,9985,46.03,32.11,459609.55,320618.35,138991.2
Central America and the Caribbean,Haiti,Office Supplies,Offline,L,1/9/2018,314493233,2/5/2018,8645,688.88,573.81,5955367.6,4960587.45,994780.15
Australia and Oceania,Federated States of Micronesia,Baby Food,Online,L,10/20/2018,103134483,11/7/2018,10827,287.18,166.41,3109297.86,1801721.07,1307576.79
North America,Mexico,Baby Food,Offline,H,12/19/2018,375512911,1/13/2019,10018,255.27,149.53,2557294.86,1497991.54,1059303.32
Australia and Oceania,Kiribati,Meat,Online,L,1/9/2018,956603282,2/8/2018,5017,460.47,406.9,2310177.99,2041417.3,268760.69
Sub-Saharan Africa,Mauritania,Meat,Online,C,11/7/2018,881564516,11/12/2018,3009,453.66,349.0,1365062.94,1050141.0,314921.94
Middle East and North Africa,Saudi Arabia,Snacks,Offline,M,7/22/2018,632315264,7/24/2018,7197,156.95,98.12,1129569.15,706169.64,423399.51
Middle East and North Africa,Kuwait,Personal Care,Offline,H,1/5/2018,945668978,1/31/2018,7114,80.72,53.71,574242.08,382092.94,192149.14
Australia and Oceania,Tuvalu,Office Supplies,Online,C,1/1/2018,388725041,1/5/2018,4863,675.3,524.13,3283983.9,2548844.19,735139.71
Sub-Saharan Africa,Madagascar,Beverages,Online,M,1/23/2018,914027372,1/29/2018,10801,51.72,34.19,558627.72,369286.19,189341.53
Middle East and North Africa,Libya,Cosmetics,Online,L,1/14/2018,692766554,1/16/2018,9359,494.23,289.48,4625498.57,2709243.32,1916255.25
Middle East and North Africa,Azerbaijan,Beverages,Online,M,1/15/2018,252699010,2/2/2018,3087,49.46,35.01,152683.02,108075.87,44607.15
Australia and Oceania,Samoa ,Household,Offline,M,8/20/2018,250587743,8/21/2018,3432,659.7,540.18,2264090.4,1853897.76,410192.64
Europe,Russia,Fruits,Online,C,12/30/2018,177402191,1/6/2019,5561,8.67,6.83,48213.87,37981.63,10232.24
Central America and the Caribbean,Nicaragua,Clothes,Offline,C,3/7/2018,969023684,3/26/2018,1537,110.63,35.47,170038.31,54517.39,115520.92
Middle East and North Africa,Kuwait,Snacks,Online,H,12/26/2018,785096317,1/23/2019,8792,171.52,95.2,1508003.84,836998.4,671005.44
Asia,Kyrgyzstan,Beverages,Online,H,9/1/2018,271644906,9/7/2018,9502,52.7,31.7,500755.4,301213.4,199542.0
North America,Mexico,Cereal,Offline,H,7/11/2018,842155687,7/25/2018,2320,225.48,120.78,523113.6,280209.6,242904.0
Asia,Myanmar,Personal Care,Online,C,7/17/2018,441093187,8/8/2018,5819,84.53,62.33,491880.07,362698.27,129181.8
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,5/24/2018,359881631,6/23/2018,1530,458.29,249.53,701183.7,381780.9,319402.8
Europe,Russia,Cereal,Online,M,5/27/2018,755571799,6/14/2018,1983,228.31,123.15,452738.73,244206.45,208532.28
Middle East and North Africa,Libya,Fruits,Offline,M,4/16/2018,760257882,4/26/2018,4867,10.28,6.42,50032.76,31246.14,18786.62
North America,Mexico,Vegetables,Online,H,7/2/2018,405372203,7/27/2018,6152,159.45,90.29,980936.4,555464.08,425472.32
Middle East and North Africa,Syria,Baby Food,Online,C,11/27/2018,503794443,12/17/2018,10992,246.5,170.94,2709528.0,1878972.48,830555.52
Europe,Slovenia,Vegetables,Offline,H,10/25/2018,403494987,11/18/2018,4703,168.81,99.62,793913.43,468512.86,325400.57
Europe,Portugal,Fruits,Online,C,10/8/2018,440345229,10/14/2018,9340,9.64,7.59,90037.6,70890.6,19147.0
Middle East and North Africa,Iran,Baby Food,Online,M,2/14/2018,659380380,3/10/2018,1027,283.22,169.32,290866.94,173891.64,116975.3
Central America and the Caribbean,Costa Rica,Personal Care,Online,M,3/12/2018,790826393,3/15/2018,9935,82.76,57.02,822220.6,566493.7,255726.9
Middle East and North Africa,Azerbaijan,Baby Food,Online,C,12/17/2018,339333902,1/4/2019,6419,278.45,176.78,1787370.55,1134750.82,652619.73
Australia and Oceania,Tuvalu,Office Supplies,Offline,H,2/25/2019,473723657,2/28/2019,5166,683.91,536.61,3533079.06,2772127.26,760951.8
Asia,Kyrgyzstan,Beverages,Offline,M,5/13/2019,149201820,5/18/2019,10642,54.89,34.08,584139.38,362679.36,221460.02
Asia,Turkmenistan,Snacks,Offline,H,12/2/2019,709981676,12/11/2019,8359,176.74,96.69,1477369.66,808231.71,669137.95
Europe,Portugal,Cosmetics,Online,L,10/8/2019,806154822,11/1/2019,3751,463.73,277.03,1739451.23,1039139.53,700311.7
Australia and Oceania,Australia,Beverages,Offline,H,5/22/2019,791166096,5/31/2019,10995,54.72,32.36,601646.4,355798.2,245848.2
Europe,Iceland,Clothes,Online,H,12/10/2019,367887060,12/29/2019,2180,112.62,41.32,245511.6,90077.6,155434.0
Asia,Myanmar,Household,Online,C,9/18/2019,288030714,10/3/2019,8991,655.95,540.92,5897646.45,4863411.72,1034234.73
Sub-Saharan Africa,The Gambia,Snacks,Online,C,9/22/2019,388616333,10/10/2019,4695,152.72,97.26,717020.4,456635.7,260384.7
Australia and Oceania,Fiji,Vegetables,Online,L,6/18/2019,236692981,7/11/2019,7940,149.23,99.51,1184886.2,790109.4,394776.8
Europe,Norway,Fruits,Online,C,6/7/2019,994843942,6/22/2019,10636,9.21,7.85,97957.56,83492.6,14464.96
Australia and Oceania,Solomon Islands,Cereal,Offline,M,2/22/2019,446902756,3/5/2019,3102,203.93,135.55,632590.86,420476.1,212114.76
Asia,Turkmenistan,Office Supplies,Online,C,5/26/2019,928278743,5/29/2019,6290,673.85,542.63,4238516.5,3413142.7,825373.8
Europe,United Kingdom,Personal Care,Offline,C,8/21/2019,746439119,9/16/2019,2297,78.64,56.36,180636.08,129458.92,51177.16
Sub-Saharan Africa,Djibouti,Meat,Offline,M,8/12/2019,718932499,9/2/2019,6245,432.37,363.17,2700150.65,2267996.65,432154.0
Sub-Saharan Africa,Gabon,Snacks,Offline,H,5/27/2019,937659096,6/3/2019,6994,148.12,104.0,1035951.28,727376.0,308575.28
Australia and Oceania,Kiribati,Personal Care,Offline,C,5/22/2019,439156656,6/14/2019,6771,94.12,58.89,637286.52,398744.19,238542.33
North America,Mexico,Beverages,Online,L,7/12/2019,373309369,7/17/2019,10599,45.27,32.53,479816.73,344785.47,135031.26
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Online,M,5/8/2019,415068802,5/17/2019,9010,53.41,32.11,481224.1,289311.1,191913.0
Australia and Oceania,New Zealand,Snacks,Offline,M,6/3/2019,912357415,6/11/2019,6979,175.52,99.72,1224954.08,695945.88,529008.2
Europe,Monaco,Meat,Offline,H,6/1/2019,327052874,6/16/2019,3502,481.66,377.1,1686773.32,1320604.2,366169.12
Middle East and North Africa,Syria,Meat,Online,L,9/9/2019,537810474,9/17/2019,2457,445.55,390.03,1094716.35,958303.71,136412.64
North America,Mexico,Vegetables,Online,C,1/26/2019,310459024,2/17/2019,1883,173.36,97.36,326436.88,183328.88,143108.0
North America,Mexico,Clothes,Online,H,8/10/2019,264676593,9/4/2019,9981,109.22,41.48,1090124.82,414011.88,676112.94
Central America and the Caribbean,Grenada,Snacks,Offline,M,2/28/2019,557864241,3/6/2019,2149,153.25,93.57,329334.25,201081.93,128252.32
Middle East and North Africa,Kuwait,Office Supplies,Offline,L,4/9/2019,839928214,5/2/2019,5498,733.55,591.66,4033057.9,3252946.68,780111.22
Europe,Iceland,Vegetables,Offline,C,3/5/2019,220318098,3/28/2019,1727,175.42,99.1,302950.34,171145.7,131804.64
Europe,Iceland,Personal Care,Online,M,3/13/2019,924692587,3/24/2019,362,94.62,55.1,34252.44,19946.2,14306.24
Australia and Oceania,Australia,Beverages,Online,C,8/27/2019,884942537,8/28/2019,9283,55.0,32.76,510565.0,304111.08,206453.92
Central America and the Caribbean,Haiti,Cosmetics,Online,H,12/1/2019,474571504,12/14/2019,2106,455.16,298.88,958566.96,629441.28,329125.68
Middle East and North Africa,Saudi Arabia,Meat,Online,L,1/21/2019,927188071,2/12/2019,4276,470.54,358.89,2012029.04,1534613.64,477415.4
Europe,Slovenia,Meat,Offline,M,12/5/2020,889012476,12/7/2020,4759,419.76,357.46,1997637.84,1701152.14,296485.7
Middle East and North Africa,Kuwait,Baby Food,Online,H,1/29/2020,820348954,2/17/2020,8951,224.74,148.01,2011647.74,1324837.51,686810.23
Sub-Saharan Africa,South Sudan,Baby Food,Offline,L,6/3/2020,799270902,6/21/2020,1889,250.49,133.28,473175.61,251765.92,221409.69
Sub-Saharan Africa,Mozambique,Meat,Offline,C,11/29/2020,372950932,12/2/2020,6243,362.27,329.35,2261651.61,2056132.05,205519.56
Asia,Kyrgyzstan,Cereal,Offline,C,6/20/2020,636721742,7/12/2020,3155,204.4,99.46,644882.0,313796.3,331085.7
Europe,France,Cereal,Online,M,10/28/2020,698399826,11/15/2020,8118,201.77,114.16,1637968.86,926750.88,711217.98
Asia,Bangladesh,Vegetables,Offline,C,6/19/2020,790829736,7/16/2020,1387,132.96,92.22,184415.52,127909.14,56506.38
North America,Mexico,Cereal,Offline,M,8/20/2020,310008776,9/16/2020,3449,187.47,109.16,646584.03,376492.84,270091.19
Sub-Saharan Africa,Comoros,Beverages,Online,L,7/4/2020,118189257,7/31/2020,7886,43.61,27.66,343908.46,218126.76,125781.7
Middle East and North Africa,Syria,Baby Food,Offline,H,8/14/2020,262334071,8/20/2020,1224,252.25,153.47,308754.0,187847.28,120906.72
Middle East and North Africa,Kuwait,Cosmetics,Online,C,2/6/2020,840421891,2/18/2020,7466,372.68,246.67,2782428.88,1841638.22,940790.66
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Offline,L,2/16/2020,152131061,3/2/2020,1823,612.27,498.11,1116168.21,908054.53,208113.68
Middle East and North Africa,Kuwait,Cereal,Online,H,3/11/2020,316772470,4/10/2020,2128,207.34,100.22,441219.52,213268.16,227951.36
Australia and Oceania,Australia,Cereal,Online,L,10/24/2020,506077282,11/11/2020,4395,174.25,118.28,765828.75,519840.6,245988.15
Sub-Saharan Africa,Comoros,Beverages,Online,H,9/21/2020,494268463,10/9/2020,4494,40.29,28.36,181063.26,127449.84,53613.42
Australia and Oceania,Fiji,Personal Care,Online,M,4/2/2020,397037962,4/21/2020,3658,70.68,53.06,258547.44,194093.48,64453.96
Middle East and North Africa,Libya,Snacks,Online,L,7/12/2020,377342523,8/10/2020,6912,139.52,91.42,964362.24,631895.04,332467.2
Sub-Saharan Africa,Rwanda,Beverages,Online,C,7/19/2020,128072085,8/14/2020,2580,41.19,27.86,106270.2,71878.8,34391.4
Asia,Bangladesh,Household,Online,C,7/4/2020,362418808,7/26/2020,2360,613.26,428.35,1447293.6,1010906.0,436387.6
North America,Mexico,Snacks,Offline,H,1/7/2020,643489322,1/29/2020,1877,149.57,99.3,280742.89,186386.1,94356.79
